ID,session_type,type
201543336390769,bilendi,success
201543334749305,bilendi,success
201543334836249,bilendi,success
197819573253236,bilendi,success
200210446304335,bilendi,success
201543336461397,bilendi,screen out
201543336225805,bilendi,success
200652942080000,bilendi,success
201194601192450,bilendi,screen out
201456392039484,bilendi,success
201543336240147,bilendi,success
199350948710409,bilendi,screen out
200040271599698,bilendi,screen out
201272563404860,bilendi,success
201543334350886,bilendi,success
200040282549263,bilendi,screen out
201543335054425,bilendi,success
198999546227779,bilendi,screen out
201272566496332,bilendi,screen out
201272558071931,bilendi,success
201543334476854,bilendi,screen out
201543336255517,bilendi,success
200927548207145,bilendi,success
201543336042500,bilendi,success
200832525108322,bilendi,success
200927550583867,bilendi,success
201364279798798,bilendi,screen out
200040281008220,bilendi,success
200040280061032,bilendi,success
200299669283871,bilendi,screen out
201272564811833,bilendi,success
200652942578748,bilendi,success
201543335137280,bilendi,success
200040273991732,bilendi,success
200927543959614,bilendi,success
201543335810070,bilendi,success
199441328514107,bilendi,success
199590964409384,bilendi,success
201364280951890,bilendi,success
199590975976536,bilendi,success
201543336241173,bilendi,success
197819580177452,bilendi,success
201543336050702,bilendi,success
201364280256592,bilendi,screen out
200927548641359,bilendi,screen out
199590976092259,bilendi,success
200210439345267,bilendi,success
201543335288892,bilendi,success
201543335704663,bilendi,success
200832526002223,bilendi,success
200832526002223,bilendi,success
200040299994220,bilendi,success
201543334672477,bilendi,success
201543334809610,bilendi,success
201272560018453,bilendi,screen out
201543335572495,bilendi,success
201543335450624,bilendi,screen out
200299670693955,bilendi,success
201543336067107,bilendi,screen out
201543334937657,bilendi,success
201543336242204,bilendi,success
201194605807660,bilendi,success
201456391530562,bilendi,screen out
201194601368623,bilendi,success
201194605807660,bilendi,success
201194600893477,bilendi,success
200040298887269,bilendi,screen out
199590996828272,bilendi,success
200927544435823,bilendi,screen out
199350955599916,bilendi,success
201543336078390,bilendi,success
201272557872232,bilendi,success
197819576770659,bilendi,screen out
200299679286343,bilendi,success
199590957893652,bilendi,success
200927548402750,bilendi,success
201543335384175,bilendi,success
201543335747698,bilendi,screen out
201543335302223,bilendi,screen out
197819574805521,bilendi,success
198999548527629,bilendi,success
200832528830566,bilendi,success
201194600309876,bilendi,success
200119654325344,bilendi,success
200652941802599,bilendi,success
201543335599147,bilendi,success
201194600309876,bilendi,success
201272558966851,bilendi,success
200040280436769,bilendi,screen out
201543335909438,bilendi,success
201543336166495,bilendi,success
201272559013958,bilendi,success
199590992221186,bilendi,success
201272565594113,bilendi,screen out
200562469789719,bilendi,success
201456391615586,bilendi,success
201364279273535,bilendi,success
201543334759547,bilendi,screen out
201272564842556,bilendi,screen out
201543336918018,bilendi,success
201543334809612,bilendi,success
201543335228451,bilendi,success
200119656784959,bilendi,screen out
201543334342692,bilendi,success
201194602796103,bilendi,success
201364279544939,bilendi,success
201543336789031,bilendi,success
199350936778780,bilendi,success
201456391456771,bilendi,success
201543334714474,bilendi,screen out
201194607466509,bilendi,success
199350964143111,bilendi,success
199590974384153,bilendi,screen out
200832525251704,bilendi,success
201543335309396,bilendi,screen out
200652938638389,bilendi,success
201364284335157,bilendi,success
200832522499117,bilendi,success
201456393075831,bilendi,success
201364279643260,bilendi,success
201456391473174,bilendi,success
200745037323321,bilendi,success
200745048027211,bilendi,success
201543334704231,bilendi,screen out
200210458896423,bilendi,success
201543334671450,bilendi,success
200745039895573,bilendi,screen out
201456391614558,bilendi,success
201272557884521,bilendi,success
201543335128185,bilendi,success
200832524026982,bilendi,success
201364278739052,bilendi,success
201364278710376,bilendi,success
201543336062992,bilendi,success
200745033184354,bilendi,success
201543334937656,bilendi,success
201543334937656,bilendi,screen out
201543334699102,bilendi,success
201364287137829,bilendi,screen out
201543334496312,bilendi,screen out
200745037645829,bilendi,success
201194605317197,bilendi,success
201272563885153,bilendi,screen out
200040274651254,bilendi,success
199590970752105,bilendi,success
199441320536181,bilendi,success
201272555021427,bilendi,success
200040280284167,bilendi,success
