ID,session_type,type
201364279626873,bilendi,success
200210447495250,bilendi,success
201803366033461,bilendi,success
201982263249021,bilendi,success
198999549009010,bilendi,success
201982266453119,bilendi,success
197819572457510,bilendi,screen out
201903972306030,bilendi,success
200040274206794,bilendi,screen out
201982267199547,bilendi,success
201543335097456,bilendi,success
201982260555783,bilendi,success
199350930098247,bilendi,screen out
201803362776191,bilendi,success
199350935756883,bilendi,success
199590958379058,bilendi,success
201982268847205,bilendi,success
201982260394102,bilendi,success
200119651824746,bilendi,screen out
201982261998598,bilendi,success
200745038123126,bilendi,success
201543335748724,bilendi,success
201803363838045,bilendi,success
200040291943549,bilendi,screen out
201982263147634,bilendi,success
200745047507981,bilendi,success
201543334285325,bilendi,success
200562470163552,bilendi,success
201903967254646,bilendi,success
201903967835201,bilendi,success
201364279184434,bilendi,success
201543336849491,bilendi,screen out
201982261435471,bilendi,success
200745050006574,bilendi,success
199350940836953,bilendi,success
200040275641453,bilendi,success
200119643985963,bilendi,success
201543335759994,bilendi,success
