timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
92ccf8e538f22fa6755c182191b5bbfddaffff1e788f36912d578c99d494f19e Mozilla/5.0 (Windows NT 6.1; rv:97.0) Gecko/20100101 Firefox/97.0,abcd2c67-46d0-405c-8d02-0cd2e68813d8,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,45-59,Male,yes,Probably does not,Definitely no,"No, never",true,very untrue,32,left,left,erotic,true,t,1,0
"6b094398a3fd803244b179c5fa3700a3d4570b28ffeb0cb4d7c2f48d98c4717b Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.43",26164da3-75f4-4004-8b91-5ce511ebcf1d,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,60+,Female,yes,Don’t know,Definitely no,Regularly in the past,between true and untrue,untrue,4,left,right,erotic,false,t,1,0
48d05252f1e7718bda0120a4682220acc83bf5d7d1b3a6a3b60ef38f352f3e6c Mozilla/5.0 (Windows NT 6.1; rv:97.0) Gecko/20100101 Firefox/97.0,abcd2c67-46d0-405c-8d02-0cd2e68813d8,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,45-59,Male,yes,Probably does not,Definitely no,"No, never",true,very untrue,33,left,left,neutral,true,t,1,0
b96a9ac34e64f8cb2012a3923edba4bd0dc5ecad3359830b566ca1b383dfbcf9 Mozilla/5.0 (Windows NT 6.1; rv:97.0) Gecko/20100101 Firefox/97.0,abcd2c67-46d0-405c-8d02-0cd2e68813d8,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,45-59,Male,yes,Probably does not,Definitely no,"No, never",true,very untrue,34,left,right,erotic,false,t,1,0
"de29844fae265b009c9d1a184f1eb164a44318717f35f8f87928b54e8321a28c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.43",26164da3-75f4-4004-8b91-5ce511ebcf1d,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,60+,Female,yes,Don’t know,Definitely no,Regularly in the past,between true and untrue,untrue,5,right,left,neutral,false,t,1,0
"c8c0b2c51295b7fde9d828d85ef5fbbac191fae3856a3fb0c56044cc052d56df Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.43",5b1636fd-a054-467a-85f6-ad93eeb213a9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
de29844fae265b009c9d1a184f1eb164a44318717f35f8f87928b54e8321a28c Mozilla/5.0 (Windows NT 6.1; rv:97.0) Gecko/20100101 Firefox/97.0,abcd2c67-46d0-405c-8d02-0cd2e68813d8,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,45-59,Male,yes,Probably does not,Definitely no,"No, never",true,very untrue,35,left,right,neutral,false,t,1,0
"8c54bf65db058998ba516ddae69adaeb4fffe8c4096a0f04f34f5f516cabf9d8 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.43",26164da3-75f4-4004-8b91-5ce511ebcf1d,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,60+,Female,yes,Don’t know,Definitely no,Regularly in the past,between true and untrue,untrue,6,left,left,neutral,true,t,1,0
"15be816b030f9dd2027eef2519153fa891737a948018f411fc8f3ec872b919c3 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.80 Safari/537.36 Edg/98.0.1108.43",5b1636fd-a054-467a-85f6-ad93eeb213a9,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
9cf31ec1fd07eef7c2805541d49041ba9e93d35f7b73b2cf9723fc0dbe693848 Mozilla/5.0 (Windows NT 6.1; rv:97.0) Gecko/20100101 Firefox/97.0,abcd2c67-46d0-405c-8d02-0cd2e68813d8,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,45-59,Male,yes,Probably does not,Definitely no,"No, never",true,very untrue,36,left,left,neutral,true,t,1,0
